127.0.0.1 - - [23/Dec/2023:12:49:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/simulater HTTP/1.1" 200 23464
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/resources/assets/img/brand/%ED%95%9C%EA%B5%AD%EA%B8%B0%ED%9B%84%ED%99%98%EA%B2%BD%20%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC.png HTTP/1.1" 200 8517
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/resources/assets/img/brand/%ED%99%98%EA%B2%BD%EB%B6%80.png HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/css/button3.css HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/resources/vendor/@fortawesome/fontawesome-free/css/all.min.css HTTP/1.1" 200 71815
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/css/neumorphism.css HTTP/1.1" 200 650165
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/resources/assets/img/brand/%EA%B8%B0%ED%9B%84%ED%96%89%EB%8F%99%201.5.png HTTP/1.1" 200 6739
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/resources/assets/img/brand/carina_logo.png HTTP/1.1" 200 48815
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/vendor/headroom.js/dist/headroom.min.js HTTP/1.1" 200 4403
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/vendor/popper.js/dist/umd/popper.min.js HTTP/1.1" 200 21257
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/vendor/onscreen/dist/on-screen.umd.min.js HTTP/1.1" 200 6714
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/vendor/nouislider/distribute/nouislider.min.js HTTP/1.1" 200 22052
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/vendor/jquery/dist/jquery.min.js HTTP/1.1" 200 89493
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:38 +0900] "GET /cbs/vendor/waypoints/lib/jquery.waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:39 +0900] "GET /cbs/vendor/jarallax/dist/jarallax.min.js HTTP/1.1" 200 15211
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:39 +0900] "GET /cbs/vendor/jquery-countdown/dist/jquery.countdown.min.js HTTP/1.1" 200 5339
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:39 +0900] "GET /cbs/vendor/jquery.counterup/jquery.counterup.min.js HTTP/1.1" 200 2182
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:39 +0900] "GET /cbs/vendor/bootstrap-datepicker/dist/js/bootstrap-datepicker.min.js HTTP/1.1" 200 33693
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:39 +0900] "GET /cbs/vendor/smooth-scroll/dist/smooth-scroll.polyfills.min.js HTTP/1.1" 200 6563
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:39 +0900] "GET /cbs/vendor/prismjs/prism.js HTTP/1.1" 200 24832
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:39 +0900] "GET /cbs/assets/js/neumorphism.js HTTP/1.1" 200 12781
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:39 +0900] "GET /cbs/resources/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 75728
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:46 +0900] "GET /cbs/;jsessionid=F546CA632E0A819383248D2A6A8F892C HTTP/1.1" 200 18159
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:46 +0900] "GET /cbs/assets/img/brand/carina_logo.png HTTP/1.1" 200 48815
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:46 +0900] "GET /cbs/resources/css/neumorphism.css HTTP/1.1" 200 650165
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:49:46 +0900] "GET /cbs/assets/img/carousel/%EC%B9%B4%EB%93%9C%EB%89%B4%EC%8A%A41.png HTTP/1.1" 200 614108
